Full Path,URL,Size
Resources/3rd Year,,
Resources/3rd Year/6th semester,,
Resources/3rd Year/6th semester/DA,,
Resources/3rd Year/6th semester/DA/Notes,,
Resources/3rd Year/6th semester/DA/Notes/DA full.pdf,https://drive.google.com/file/d/1zi2kxqjiBoD3gmhOoNfZcd-Yrbilc37Y/view?usp=drivesdk,59846.369140625
Resources/3rd Year/6th semester/DA/Book,,
Resources/3rd Year/6th semester/DA/Book/Big Data Analytics- Radha Shankarmani  M.Vijayalakshmi.pdf,https://drive.google.com/file/d/12ihwSYMBnqD5xcNoYzF934Scc2NteWUb/view?usp=drivesdk,4741.5634765625
Resources/3rd Year/6th semester/DA/Previous Year Papers,,
Resources/3rd Year/6th semester/DA/Previous Year Papers/6th Semester   B Tech   Data Analytics  IT-3002( Regular 2017) â Mid Sem 2017 (1).pdf,https://drive.google.com/file/d/16pLphzafXOgF-6MaGMRgE1RXeioDI8O8/view?usp=drivesdk,421.7119140625
Resources/3rd Year/6th semester/DA/Previous Year Papers/6th Semester   B Tech   Data Analytics  IT-3002( Regular 2017) â Mid Sem 2017.pdf,https://drive.google.com/file/d/1oOx5zfjWA2TQZJz9GtHzd1CB7jXVgSqT/view?usp=drivesdk,421.7119140625
Resources/3rd Year/6th semester/DA/Previous Year Papers/6th Semester   B.Tech  Data Analytics IT-3002 ( 2016 L.E. 2015 & Previous Admitted Batch ) â Spring End Sem 2018. (1).pdf,https://drive.google.com/file/d/1xrJzV78x03qJo5SspHPeoq5qivlZbm83/view?usp=drivesdk,676.298828125
Resources/3rd Year/6th semester/DA/Previous Year Papers/6th Semester   B.Tech  Data Analytics IT-3002 ( 2016 L.E. 2015 & Previous Admitted Batch ) â Spring End Sem 2018..pdf,https://drive.google.com/file/d/15Sb0qdfSJvCFo4OV0b9P3K9_CeogZPvv/view?usp=drivesdk,676.298828125
Resources/3rd Year/6th semester/DA/Previous Year Papers/6th Semester Regular-B.Tech IT -[DA  IT-3002]-Data Analytics- (Regular 2013 Admitted Batch) Spring End Semester-2016.pdf,https://drive.google.com/file/d/1va3Hzuuaa_HloryZA-CecYKk-XbH2T4b/view?usp=drivesdk,739.5146484375
Resources/3rd Year/6th semester/DA/Previous Year Papers/6th Semester-IT-B.Tech -[DAIT-3002]-Data Analytics-Spring Mid Semester-2016.pdf,https://drive.google.com/file/d/1RldMzVoisQJBS3Lj67r4E2B30r6cfGfL/view?usp=drivesdk,413.5888671875
Resources/3rd Year/6th semester/DA/Previous Year Papers/6THSEM~1.PDF,https://drive.google.com/file/d/1PcCWH9LeWh5gjlTzhQ2_WGFjFbA_bUAb/view?usp=drivesdk,721.888671875
Resources/3rd Year/6th semester/DA/Previous Year Papers/7th Semester B Tech  Data Analytics IT-3002 â Mid Sem 2016 (1) (1).pdf,https://drive.google.com/file/d/1aCx9FoTcqMPwjBqqdUtFlY0exuO_OO_Y/view?usp=drivesdk,468.6162109375
Resources/3rd Year/6th semester/DA/Previous Year Papers/7th Semester B Tech  Data Analytics IT-3002 â Mid Sem 2016 (1).pdf,https://drive.google.com/file/d/11yTVmeMJUmCBRTsuPQiIwfWEUBAFPQ71/view?usp=drivesdk,468.6162109375
Resources/3rd Year/6th semester/DA/Previous Year Papers/7th Semester B Tech  Data Analytics IT-3002 â Mid Sem 2016 (2).pdf,https://drive.google.com/file/d/1gz59dKYqBtVnuHvqrgsR8RdwtNFQqJ-M/view?usp=drivesdk,468.6162109375
Resources/3rd Year/6th semester/DA/Previous Year Papers/7th Semester B Tech  Data Analytics IT-3002 â Mid Sem 2016.pdf,https://drive.google.com/file/d/15J22-TfMt-mRr3YlYP-Mxf1wYUVJJzaE/view?usp=drivesdk,468.6162109375
Resources/3rd Year/6th semester/DA/Previous Year Papers/7th Semester B Tech  Data Analytics  IT-3002  â  Autumn Mid Sem 2017 (1).pdf,https://drive.google.com/file/d/1CFFcti4J4a1wfQ1Di5DBaExMKJ8hLZ1_/view?usp=drivesdk,437.9189453125
Resources/3rd Year/6th semester/DA/Previous Year Papers/7th Semester B Tech  Data Analytics  IT-3002  â  Autumn Mid Sem 2017.pdf,https://drive.google.com/file/d/1XyQFyUdbuUUMvx0zhVG7oVUbELt7r_vu/view?usp=drivesdk,437.9189453125
Resources/3rd Year/6th semester/DA/Previous Year Papers/DA_IT3006_2021_Autumn_00103344_02 USED on 10.12.21 (5th sem).docx.pdf,https://drive.google.com/file/d/1987rLvINnKT3-K7eRhmEg5fH8DrT9d57/view?usp=drivesdk,117.240234375
Resources/3rd Year/6th semester/DA/Previous Year Papers/Data Analytics  IT-3006 â Spring  End  Semester Examination  2022.pdf,https://drive.google.com/file/d/1Q7J_B8IMJank2HYeX7lqpG_dNZxyhb5R/view?usp=drivesdk,1223.91796875
Resources/3rd Year/6th semester/DA/Previous Year Papers/Data Analytics.pdf,https://drive.google.com/file/d/1gxnQQOhaNKVDX6tkrQYDb7F9f1daqPr3/view?usp=drivesdk,1223.91796875
Resources/3rd Year/6th semester/DA/PPTs,,
Resources/3rd Year/6th semester/DA/PPTs/Unit 3 - DA - Mining Data Streams.pdf,https://drive.google.com/file/d/1CKZOl8N7MJORzSpMj1TngoRKxrvQb0AP/view?usp=drivesdk,3050.8671875
Resources/3rd Year/6th semester/DA/PPTs/Unit 1 - DA - Introduction to Big Data.pdf,https://drive.google.com/file/d/1BwZgIDUizOqJpeQdKacogd4IkNMhf20Z/view?usp=drivesdk,1756.130859375
Resources/3rd Year/6th semester/DA/PPTs/Unit 2 - DA - Data Analysis.pdf,https://drive.google.com/file/d/18y9TN-64kuStQ7KQ5MdgvH5_FxJrscZV/view?usp=drivesdk,5126.9482421875
Resources/3rd Year/6th semester/DA/PPTs/10SupportVectorMachine.pdf,https://drive.google.com/file/d/1WdA8EJkoMumM9Ko2SGvC_snsjd-upESR/view?usp=drivesdk,1027.29296875
Resources/3rd Year/6th semester/DA/Syllabus,,
Resources/3rd Year/6th semester/DA/Syllabus/Data Analytics Lesson Plan.pdf,https://drive.google.com/file/d/1h2WuCVpvZJQ-R_GmsvCfJxxoQNiugLXI/view?usp=drivesdk,226.9619140625
Resources/3rd Year/6th semester/CC,,
Resources/3rd Year/6th semester/CC/PPTs,,
Resources/3rd Year/6th semester/CC/PPTs/Chapter 7.pptx,https://docs.google.com/presentation/d/1FlbZe9d8Ov01d_PchrBFOh96ExD7sBvG/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,307.109375
Resources/3rd Year/6th semester/CC/PPTs/Chapter 9.pptx,https://docs.google.com/presentation/d/1IUxXl2d3Npm1jkA3YZ1IO4M33vAh5hto/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,281.2998046875
Resources/3rd Year/6th semester/CC/PPTs/Chapter 8.pptx,https://docs.google.com/presentation/d/1Q7UuOoTHNPDckyhCzWy3rkHePiyt-7cI/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,304.9638671875
Resources/3rd Year/6th semester/CC/PPTs/Chapter 4.pptx,https://docs.google.com/presentation/d/1D1174nLDvh_2OYp5p337YlV_LtTAV-J1/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,421.2490234375
Resources/3rd Year/6th semester/CC/PPTs/Chapter 5.pptx,https://docs.google.com/presentation/d/1TYRmA6yYJvi-eu6qfVLex3MRZDgXOVh_/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,349.4990234375
Resources/3rd Year/6th semester/CC/PPTs/Chapter 6.pptx,https://docs.google.com/presentation/d/1i_1aZLL2TyRk_f6phz5nuhjVLYeHnwHP/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,499.97265625
Resources/3rd Year/6th semester/CC/PPTs/Chapter 1.pptx,https://docs.google.com/presentation/d/1fqljNXD4yMS998XbJScdQt_lftGn9yiq/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,486.9482421875
Resources/3rd Year/6th semester/CC/PPTs/Chapter 2.pptx,https://docs.google.com/presentation/d/1UYDYOYj258F9gffGgtyLEAVmLgAixkfR/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,326.0556640625
Resources/3rd Year/6th semester/CC/PPTs/Chapter 3.pptx,https://docs.google.com/presentation/d/1_XeZloYsajBmC0MikcVPbjfRwV1ZdhH9/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,243.853515625
Resources/3rd Year/6th semester/CC/Notes,,
Resources/3rd Year/6th semester/CC/Notes/CC-Midsem.pdf,https://drive.google.com/file/d/1SVylwDpJVTM-1iIp0NHGH20kuvM878qf/view?usp=drivesdk,617.859375
